Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HomeOVA,AwayOVA,OVA_diff,HT_match_played,HT_current_standing,HT_past_standing,HT_past_goal_diff,HT_past_win_rate,HT_goal_for,HT_goal_against,HT_goal_diff,HT_win_rate_season,AT_match_played,AT_current_standing,AT_past_standing,AT_past_goal_diff,AT_past_win_rate,AT_goal_for,AT_goal_against,AT_goal_diff,AT_win_rate_season,HT_3_win_streak,HT_5_win_streak,HT_3_lose_Streak,HT_5_lose_Streak,AT_3_win_streak,AT_5_win_streak,AT_3_lose_Streak,AT_5_lose_Streak,HT_5_win_rate,AT_5_win_rate,current_standing_diff,past_standing_diff,past_goal_diff_diff,past_win_rate_diff,win_rate_season_diff,goal_diff_diff,HT_win_rate_against,AT_win_rate_against
2006-08-19,Arsenal,Aston Villa,1.0,1.0,D,82,75,7,0.0,0.0,67.0,37.0,0.5263157894736842,0.0,0.0,0.0,,0.0,0.0,42.0,-13.0,0.2631578947368421,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,25.0,50.0,0.2631578947368421,,0.0,0.5384615384615384,0.11538461538461539
2006-08-19,Bolton,Tottenham,2.0,0.0,H,76,79,-3,0.0,0.0,56.0,8.0,0.3947368421052632,0.0,0.0,0.0,,0.0,0.0,65.0,15.0,0.4736842105263158,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,-9.0,-7.0,-0.0789473684210526,,0.0,0.42857142857142855,0.35714285714285715
2006-08-19,Everton,Watford,2.0,1.0,H,77,68,9,0.0,0.0,50.0,-15.0,0.3684210526315789,0.0,0.0,0.0,,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,51.0,-14.0,0.3684210526315789,,0.0,1.0,0.0
2006-08-19,Newcastle,Wigan,2.0,1.0,H,79,74,5,0.0,0.0,58.0,5.0,0.4473684210526316,0.0,0.0,0.0,,0.0,0.0,51.0,-7.0,0.3947368421052632,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,7.0,12.0,0.05263157894736836,,0.0,0.5,0.5
2006-08-19,Portsmouth,Blackburn,3.0,0.0,H,75,77,-2,0.0,0.0,38.0,-25.0,0.2631578947368421,0.0,0.0,0.0,,0.0,0.0,63.0,9.0,0.5,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,-25.0,-34.0,-0.2368421052631579,,0.0,0.16666666666666666,0.6666666666666666
2006-08-19,Reading,Middlesbrough,3.0,2.0,H,71,76,-5,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,,0.0,0.0,45.0,-10.0,0.3157894736842105,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,-46.0,9.0,-0.3157894736842105,,0.0,,
2006-08-19,Sheffield United,Liverpool,1.0,1.0,D,72,81,-9,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,,0.0,0.0,82.0,32.0,0.6578947368421053,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,-83.0,-33.0,-0.6578947368421053,,0.0,0.5,0.0
2006-08-19,West Ham,Charlton,3.0,1.0,H,76,75,1,0.0,0.0,55.0,-3.0,0.42105263157894735,0.0,0.0,0.0,,0.0,0.0,47.0,-14.0,0.34210526315789475,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,8.0,11.0,0.0789473684210526,,0.0,0.2,0.5
2006-08-20,Chelsea,Man City,3.0,0.0,H,84,77,7,0.0,0.0,91.0,50.0,0.7631578947368421,0.0,0.0,0.0,,0.0,0.0,43.0,-5.0,0.34210526315789475,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,48.0,55.0,0.4210526315789474,,0.0,0.6875,0.0625
2006-08-20,Man United,Fulham,5.0,1.0,H,82,75,7,0.0,0.0,83.0,38.0,0.6578947368421053,0.0,0.0,0.0,,0.0,0.0,48.0,-10.0,0.3684210526315789,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,35.0,48.0,0.2894736842105264,,0.0,0.6,0.1
